TEAM_ID,yr,W,L
ATL,2022,41,41
BKN,2022,45,37
BOS,2022,57,25
CHA,2022,27,55
CHI,2022,40,42
CLE,2022,51,31
DAL,2022,38,44
DEN,2022,53,29
DET,2022,17,65
GSG,2022,44,38
HOU,2022,22,60
IND,2022,35,47
LAC,2022,44,38
LAL,2022,43,39
MEM,2022,51,31
MIA,2022,44,38
MIL,2022,58,24
MIN,2022,42,40
NON,2022,42,40
NYN,2022,47,35
OKC,2022,40,42
ORL,2022,34,48
PHI,2022,54,28
PHX,2022,45,37
POR,2022,33,49
SAC,2022,48,34
SAS,2022,22,60
TOR,2022,41,41
UTA,2022,37,45
WSH,2022,35,47
ATL,2021,43,39
BKN,2021,44,38
BOS,2021,51,31
CHA,2021,43,39
CHI,2021,46,36
CLE,2021,44,38
DAL,2021,52,30
DEN,2021,48,34
DET,2021,23,59
GSG,2021,53,29
HOU,2021,20,62
IND,2021,25,57
LAC,2021,42,40
LAL,2021,33,49
MEM,2021,56,26
MIA,2021,53,29
MIL,2021,51,31
MIN,2021,46,36
NON,2021,36,46
NYN,2021,37,45
OKC,2021,24,58
ORL,2021,22,60
PHI,2021,51,31
PHX,2021,64,18
POR,2021,27,55
SAC,2021,30,52
SAS,2021,34,48
TOR,2021,48,34
UTA,2021,49,33
WSH,2021,35,47
ATL,2020,41,31
BKN,2020,48,24
BOS,2020,36,36
CHA,2020,33,39
CHI,2020,31,41
CLE,2020,22,50
DAL,2020,42,30
DEN,2020,47,25
DET,2020,20,52
GSG,2020,39,33
HOU,2020,17,55
IND,2020,34,38
LAC,2020,47,25
LAL,2020,42,30
MEM,2020,38,34
MIA,2020,40,32
MIL,2020,46,26
MIN,2020,23,49
NON,2020,31,41
NYN,2020,41,31
OKC,2020,22,50
ORL,2020,21,51
PHI,2020,49,23
PHX,2020,51,21
POR,2020,42,30
SAC,2020,31,41
SAS,2020,33,39
TOR,2020,27,45
UTA,2020,52,20
WSH,2020,34,38
ATL,2019,20,47
BKN,2019,35,37
BOS,2019,48,24
CHA,2019,23,42
CHI,2019,22,43
CLE,2019,19,46
DAL,2019,43,32
DEN,2019,46,27
DET,2019,20,46
GSG,2019,15,50
HOU,2019,44,28
IND,2019,45,28
LAC,2019,49,23
LAL,2019,52,19
MEM,2019,34,39
MIA,2019,44,29
MIL,2019,56,17
MIN,2019,19,45
NON,2019,30,42
NYN,2019,21,45
OKC,2019,44,28
ORL,2019,33,40
PHI,2019,43,30
PHX,2019,34,39
POR,2019,35,39
SAC,2019,31,41
SAS,2019,32,39
TOR,2019,53,19
UTA,2019,44,28
WSH,2019,25,47
ATL,2018,29,53
BKN,2018,42,40
BOS,2018,49,33
CHA,2018,39,43
CHI,2018,22,60
CLE,2018,19,63
DAL,2018,33,49
DEN,2018,54,28
DET,2018,41,41
GSG,2018,57,25
HOU,2018,53,29
IND,2018,48,34
LAC,2018,48,34
LAL,2018,37,45
MEM,2018,33,49
MIA,2018,39,43
MIL,2018,60,22
MIN,2018,36,46
NON,2018,33,49
NYN,2018,17,65
OKC,2018,49,33
ORL,2018,42,40
PHI,2018,51,31
PHX,2018,19,63
POR,2018,53,29
SAC,2018,39,43
SAS,2018,48,34
TOR,2018,58,24
UTA,2018,50,32
WSH,2018,32,50
ATL,2017,24,58
BKN,2017,28,54
BOS,2017,55,27
CHA,2017,36,46
CHI,2017,27,55
CLE,2017,50,32
DAL,2017,24,58
DEN,2017,46,36
DET,2017,39,43
GSG,2017,58,24
HOU,2017,65,17
IND,2017,48,34
LAC,2017,42,40
LAL,2017,35,47
MEM,2017,22,60
MIA,2017,44,38
MIL,2017,44,38
MIN,2017,47,35
NON,2017,48,34
NYN,2017,29,53
OKC,2017,48,34
ORL,2017,25,57
PHI,2017,52,30
PHX,2017,21,61
POR,2017,49,33
SAC,2017,27,55
SAS,2017,47,35
TOR,2017,59,23
UTA,2017,48,34
WSH,2017,43,39
ATL,2016,43,39
BOS,2016,53,29
BRK,2016,20,62
CHA,2016,36,46
CHI,2016,41,41
CLE,2016,51,31
DAL,2016,33,49
DEN,2016,40,42
DET,2016,37,45
GSW,2016,67,15
HOU,2016,55,27
IND,2016,42,40
LAC,2016,51,31
LAL,2016,26,56
MEM,2016,43,39
MIA,2016,41,41
MIL,2016,42,40
MIN,2016,31,51
NOP,2016,34,48
NYK,2016,31,51
OKC,2016,47,35
ORL,2016,29,53
PHI,2016,28,54
PHO,2016,24,58
POR,2016,41,41
SAC,2016,32,50
SAS,2016,61,21
TOR,2016,51,31
UTA,2016,51,31
WAS,2016,49,33
ATL,2015,48,34
BOS,2015,48,34
BRK,2015,21,61
CHA,2015,48,34
CHI,2015,42,40
CLE,2015,57,25
DAL,2015,42,40
DEN,2015,33,49
DET,2015,44,38
GSW,2015,73,9
HOU,2015,41,41
IND,2015,45,37
LAC,2015,53,29
LAL,2015,17,65
MEM,2015,42,40
MIA,2015,48,34
MIL,2015,33,49
MIN,2015,29,53
NOP,2015,30,52
NYK,2015,32,50
OKC,2015,55,27
ORL,2015,35,47
PHI,2015,10,72
PHO,2015,23,59
POR,2015,44,38
SAC,2015,33,49
SAS,2015,67,15
TOR,2015,56,26
UTA,2015,40,42
WAS,2015,41,41
ATL,2014,60,22
BOS,2014,40,42
BRK,2014,38,44
CHA,2014,33,49
CHI,2014,50,32
CLE,2014,53,29
DAL,2014,50,32
DEN,2014,30,52
DET,2014,32,50
GSW,2014,67,15
HOU,2014,56,26
IND,2014,38,44
LAC,2014,56,26
LAL,2014,21,61
MEM,2014,55,27
MIA,2014,37,45
MIL,2014,41,41
MIN,2014,16,66
NOP,2014,45,37
NYK,2014,17,65
OKC,2014,45,37
ORL,2014,25,57
PHI,2014,18,64
PHO,2014,39,43
POR,2014,51,31
SAC,2014,29,53
SAS,2014,55,27
TOR,2014,49,33
UTA,2014,38,44
WAS,2014,46,36
ATL,2013,38,44
BOS,2013,25,57
BRK,2013,44,38
CHA,2013,43,39
CHI,2013,48,34
CLE,2013,33,49
DAL,2013,49,33
DEN,2013,36,46
DET,2013,29,53
GSW,2013,51,31
HOU,2013,54,28
IND,2013,56,26
LAC,2013,57,25
LAL,2013,27,55
MEM,2013,50,32
MIA,2013,54,28
MIL,2013,15,67
MIN,2013,40,42
NOP,2013,34,48
NYK,2013,37,45
OKC,2013,59,23
ORL,2013,23,59
PHI,2013,19,63
PHO,2013,48,34
POR,2013,54,28
SAC,2013,28,54
SAS,2013,62,20
TOR,2013,48,34
UTA,2013,25,57
WAS,2013,44,38
ATL,2012,44,38
BOS,2012,41,40
BRK,2012,49,33
CHA,2012,21,61
CHI,2012,45,37
CLE,2012,24,58
DAL,2012,41,41
DEN,2012,57,25
DET,2012,29,53
GSW,2012,47,35
HOU,2012,45,37
IND,2012,49,32
LAC,2012,56,26
LAL,2012,45,37
MEM,2012,56,26
MIA,2012,66,16
MIL,2012,38,44
MIN,2012,31,51
NOP,2012,27,55
NYK,2012,54,28
OKC,2012,60,22
ORL,2012,20,62
PHI,2012,34,48
PHO,2012,25,57
POR,2012,33,49
SAC,2012,28,54
SAS,2012,58,24
TOR,2012,34,48
UTA,2012,43,39
WAS,2012,29,53
ATL,2011,40,26
BOS,2011,39,27
BRK,2011,22,44
CHA,2011,7,59
CHI,2011,50,16
CLE,2011,21,45
DAL,2011,36,30
DEN,2011,38,28
DET,2011,25,41
GSW,2011,23,43
HOU,2011,34,32
IND,2011,42,24
LAC,2011,40,26
LAL,2011,41,25
MEM,2011,41,25
MIA,2011,46,20
MIL,2011,31,35
MIN,2011,26,40
NOP,2011,21,45
NYK,2011,36,30
OKC,2011,47,19
ORL,2011,37,29
PHI,2011,35,31
PHO,2011,33,33
POR,2011,28,38
SAC,2011,22,44
SAS,2011,50,16
TOR,2011,23,43
UTA,2011,36,30
WAS,2011,20,46
ATL,2010,44,38
BOS,2010,56,26
BRK,2010,24,58
CHA,2010,34,48
CHI,2010,62,20
CLE,2010,19,63
DAL,2010,57,25
DEN,2010,50,32
DET,2010,30,52
GSW,2010,36,46
HOU,2010,43,39
IND,2010,37,45
LAC,2010,32,50
LAL,2010,57,25
MEM,2010,46,36
MIA,2010,58,24
MIL,2010,35,47
MIN,2010,17,65
NOP,2010,46,36
NYK,2010,42,40
OKC,2010,55,27
ORL,2010,52,30
PHI,2010,41,41
PHO,2010,40,42
POR,2010,48,34
SAC,2010,24,58
SAS,2010,61,21
TOR,2010,22,60
UTA,2010,39,43
WAS,2010,23,59
ATL,2009,53,29
BOS,2009,50,32
BRK,2009,12,70
CHA,2009,44,38
CHI,2009,41,41
CLE,2009,61,21
DAL,2009,55,27
DEN,2009,53,29
DET,2009,27,55
GSW,2009,26,56
HOU,2009,42,40
IND,2009,32,50
LAC,2009,29,53
LAL,2009,57,25
MEM,2009,40,42
MIA,2009,47,35
MIL,2009,46,36
MIN,2009,15,67
NOP,2009,37,45
NYK,2009,29,53
OKC,2009,50,32
ORL,2009,59,23
PHI,2009,27,55
PHO,2009,54,28
POR,2009,50,32
SAC,2009,25,57
SAS,2009,50,32
TOR,2009,40,42
UTA,2009,53,29
WAS,2009,26,56
ATL,2008,47,35
BOS,2008,62,20
BRK,2008,34,48
CHA,2008,35,47
CHI,2008,41,41
CLE,2008,66,16
DAL,2008,50,32
DEN,2008,54,28
DET,2008,39,43
GSW,2008,29,53
HOU,2008,53,29
IND,2008,36,46
LAC,2008,19,63
LAL,2008,65,17
MEM,2008,24,58
MIA,2008,43,39
MIL,2008,34,48
MIN,2008,24,58
NOP,2008,49,33
NYK,2008,32,50
OKC,2008,23,59
ORL,2008,59,23
PHI,2008,41,41
PHO,2008,46,36
POR,2008,54,28
SAC,2008,17,65
SAS,2008,54,28
TOR,2008,33,49
UTA,2008,48,34
WAS,2008,19,63
ATL,2007,37,45
BOS,2007,66,16
BRK,2007,34,48
CHA,2007,32,50
CHI,2007,33,49
CLE,2007,45,37
DAL,2007,51,31
DEN,2007,50,32
DET,2007,59,23
